uuid	filename	md5	barcode	disease	project
0006857d-7ed2-44c0-995b-d257a785a452	CLADE_p_TCGASNP_184_195_N_GenomeWideSNP_6_G03_1039872.nocnv_grch38.seg.v2.txt	079f7577081b3ee7926a316b7e5e12eb	TCGA-EJ-7328-01A-31D-2112-01	PRAD	TCGA
0006ea06-279f-4b65-8ebe-abe1c19bd3df	RAMPS_p_TCGA_Batch_430_NSP_GenomeWideSNP_6_B04_1538322.nocnv_grch38.seg.v2.txt	820318b448b683176702822ce7ad5235	TCGA-2G-AAG8-01A-31D-A42X-01	TGCT	TCGA
000a9425-76a7-42b7-a693-ecfb607c1abb	FERLY_p_TCGA_batch_283_N_GenomeWideSNP_6_C08_1346936.nocnv_grch38.seg.v2.txt	014b573cf51da1618987bace6394c1eb	TCGA-63-A5MT-01A-21D-A26L-01	LUSC	TCGA
000e8ade-b037-4762-8f22-bbb553a85a77	CYANS_p_TCGAb_422_423_424_NSP_GenomeWideSNP_6_D11_1513844.nocnv_grch38.seg.v2.txt	e70fef8d85e513f3a8b6aa3247b820f0	TCGA-2J-AABI-10A-01D-A40V-01	PAAD	TCGA
000fd58c-22be-4dd7-b6a3-35a8aac07be4	SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D01_831384.nocnv_grch38.seg.v2.txt	41a4cf905073d4d1c841cd3a3d4d79ee	TCGA-33-6738-11A-02D-1943-01	LUSC	TCGA
00116453-a143-4dd0-b43e-c29d47d0bd4a	DRAWN_p_TCGASNP_214_215_N_GenomeWideSNP_6_H05_1148386.nocnv_grch38.seg.v2.txt	1d5f786f9d17767d58740672a6654e23	TCGA-77-8140-10A-01D-2243-01	LUSC	TCGA
001842a7-f548-4308-8911-251ac68dcac2	XYLEM_p_TCGASNP_207_212_N_GenomeWideSNP_6_F09_1051298.nocnv_grch38.seg.v2.txt	6734fad93c82075b1e6abafa104a9832	TCGA-IN-7808-01A-11D-2200-01	STAD	TCGA
0018ad96-f0b6-4697-9190-30ca0ecfdda0	SHOUT_p_TCGAb_319_20_21_22_NSP_GenomeWideSNP_6_B04_1365056.nocnv_grch38.seg.v2.txt	4aed6a2ed0ea1f30930e9528b72b3d87	TCGA-QH-A6CU-01A-11D-A31K-01	LGG	TCGA
001e7b80-189a-40b7-b39d-35506af4729c	ROOTY_p_TCGAb27and38_SNP_N_GenomeWideSNP_6_E07_584526.nocnv_grch38.seg.v2.txt	47d46f03a898205564f7d6c5f4b9442b	TCGA-19-2629-01A-01D-0911-01	GBM	TCGA
002468c6-2ffb-4e45-b145-8dc4438f2acf	DLP_REDO_FROM_MOHEL_B02.nocnv_grch38.seg.v2.txt	1098ea9d2954087bde4dfd8ce0b1ad7f	TCGA-LL-A50Y-01A-11D-A25N-01	BRCA	TCGA
002487b9-2a70-4d40-99f6-d033bd4f287f	SICKS_p_TCGAb48_SNP_1N_GenomeWideSNP_6_F08_674904.nocnv_grch38.seg.v2.txt	b37612cab441d1f7913b0bbcd5ad5771	TCGA-BR-4255-11A-01D-1130-01	STAD	TCGA
00260539-46f2-426a-8c48-1fc102b82618	WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G06_799828.nocnv_grch38.seg.v2.txt	b646ccaa65e944cc9e95b83c5e732868	TCGA-D8-A27I-10A-02D-A16C-01	BRCA	TCGA
