uuid	filename	md5	barcode	disease	project
0000c40e-9d45-4446-9dd9-a4676224d0ce	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-19-5955-01A-11D-1697-05.gdc_hg38.txt	30b8ed83f62dc12e91f75299e0e8336f	TCGA-19-5955-01A-11D-1697-05	GBM	TCGA
00015d5e-3aad-4f2a-9136-e0a40eacd0b6	jhu-usc.edu_SKCM.HumanMethylation450.1.lvl-3.TCGA-EE-A29X-06A-11D-A19B-05.gdc_hg38.txt	f912111975e68b4eb9e2df920c1beb65	TCGA-EE-A29X-06A-11D-A19B-05	SKCM	TCGA
000f00b5-573a-4520-b3de-ba81e9671a71	jhu-usc.edu_STAD.HumanMethylation450.3.lvl-3.TCGA-D7-6817-01A-11D-1883-05.gdc_hg38.txt	50c194c6b80c7e2a679a2c51c953b215	TCGA-D7-6817-01A-11D-1883-05	STAD	TCGA
00135244-3e40-44d6-8cf5-bc8e4a8c4ae1	jhu-usc.edu_HNSC.HumanMethylation450.6.lvl-3.TCGA-CR-7380-01A-11D-2014-05.gdc_hg38.txt	cac7ead8c37b053c5ac266520fa7c517	TCGA-CR-7380-01A-11D-2014-05	HNSC	TCGA
00135bd8-170a-4976-b387-0e2d477d97d2	jhu-usc.edu_LGG.HumanMethylation450.16.lvl-3.TCGA-VM-A8CB-01A-11D-A368-05.gdc_hg38.txt	7a2691c39146456c0965ac0230388cb1	TCGA-VM-A8CB-01A-11D-A368-05	LGG	TCGA
001bc81c-3b44-418d-9561-c9a79b69fa56	jhu-usc.edu_HNSC.HumanMethylation450.3.lvl-3.TCGA-CV-5971-01A-11D-1684-05.gdc_hg38.txt	d8c326b318f4f44a8e0af8d5aa2f3cc0	TCGA-CV-5971-01A-11D-1684-05	HNSC	TCGA
001cc903-701a-47a9-b404-8675a051fc59	jhu-usc.edu_PRAD.HumanMethylation450.4.lvl-3.TCGA-HC-7210-01A-11D-2116-05.gdc_hg38.txt	4595b097a53a7c85370264b251f3b2b0	TCGA-HC-7210-01A-11D-2116-05	PRAD	TCGA
001f1cbd-34dd-4d8e-9560-8490010d5ae4	jhu-usc.edu_PCPG.HumanMethylation450.1.lvl-3.TCGA-WB-A818-01A-11D-A35J-05.gdc_hg38.txt	0603383743db77718d381f6fa7eaa49b	TCGA-WB-A818-01A-11D-A35J-05	PCPG	TCGA
0024adf5-ef9d-4711-bfab-8cf5c39b8a89	jhu-usc.edu_LUAD.HumanMethylation450.3.lvl-3.TCGA-44-6147-11A-01D-1756-05.gdc_hg38.txt	a51b8dbdfad3026478bbcff8d5d76341	TCGA-44-6147-11A-01D-1756-05	LUAD	TCGA
002527ec-593f-4d3d-9e20-4df5437efee3	jhu-usc.edu_THYM.HumanMethylation450.1.lvl-3.TCGA-XU-AAY1-01A-11D-A429-05.gdc_hg38.txt	7620cf8533d89b36affeda3bd9c452ac	TCGA-XU-AAY1-01A-11D-A429-05	THYM	TCGA
002babbf-fae3-452e-b39b-e7e9823c48e6	jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-XF-AAMW-01A-11D-A42F-05.gdc_hg38.txt	bbd5e2a2837352000761647c55a06827	TCGA-XF-AAMW-01A-11D-A42F-05	BLCA	TCGA
002c4945-7a88-4471-a789-77d6aa384c40	jhu-usc.edu_BRCA.HumanMethylation450.13.lvl-3.TCGA-D8-A1X7-01A-11D-A14N-05.gdc_hg38.txt	e0d827c6901d9f5dbb8edd232990f11c	TCGA-D8-A1X7-01A-11D-A14N-05	BRCA	TCGA
