uuid	filename	md5	barcode	disease	project
0004e15f-5b5a-4184-893a-b078fbdcf942	071570c9-cca8-410c-ae31-ec0426622ebf.mirbase21.isoforms.quantification.txt	2afa85f79f5439c7a5869f8988f96aba	TCGA-04-1336-01A-01R-1564-13	OV	TCGA
0006933a-e870-4304-9a3b-1266fe7e4d82	0f3f7c52-449b-464c-af57-7c759afb4e71.mirbase21.isoforms.quantification.txt	5473c6a104ddffd47280d3f67da1db41	TCGA-22-5478-11A-11H-2124-13	LUSC	TCGA
000d4b70-d9d9-4f81-8e26-8c51aed115ab	a5c03b4e-4658-4718-875a-1a9ad9c2d907.mirbase21.isoforms.quantification.txt	f23b3fb156d3acb9e1c54f6e54aa4a46	TCGA-AX-A0IZ-01A-11R-A119-13	UCEC	TCGA
001229ee-37c9-49ba-9276-9e053b0a28ab	42263735-d8e2-460f-901f-ed97b94b172f.mirbase21.isoforms.quantification.txt	2e7fe772a5a8d81e41bd883f7c4072c7	TCGA-22-5492-01A-01T-1634-13	LUSC	TCGA
0012a1b4-fb13-41e4-8bb4-5d0317c2200a	97e26e67-0399-42de-9670-5764b70e09eb.mirbase21.isoforms.quantification.txt	805bf7d048206edd0985d2280c6cb850	TCGA-CV-7437-11A-01R-2131-13	HNSC	TCGA
0015af0c-59b8-46be-9737-af0b9f657141	b04446a3-5d91-4776-9617-28fa37c273c6.mirbase21.isoforms.quantification.txt	2aaa69a12e65fe46b04721f31a18178a	TCGA-RD-A8MW-01A-11R-A36E-13	STAD	TCGA
0016c249-9271-462e-872c-55b9d2aef6cd	5a975777-0f13-427f-8b8a-fd6b39533dfd.mirbase21.isoforms.quantification.txt	eb0f39608bcea29e9c87a387fabec53a	TCGA-XF-A8HG-01A-11R-A36A-13	BLCA	TCGA
0022653f-2467-4e12-a8b0-23e5bafbd600	871862c9-2fb6-46f8-9d19-1f874901a3b5.mirbase21.isoforms.quantification.txt	ad32ea85ad27ed73f66235967406a576	TCGA-55-6980-01A-11H-1948-13	LUAD	TCGA
0025df7d-992b-4f71-9fbc-3b8d54900075	2c91957f-bf0e-49be-b361-505fe1bb84c8.mirbase21.isoforms.quantification.txt	e443e57c1055ba1603700240aeb91e36	TCGA-43-7656-01A-11H-2124-13	LUSC	TCGA
00296e9c-487e-4e2f-870f-3d24d1b0ed40	39dd1c46-cf54-49eb-9737-b7709ff30434.mirbase21.isoforms.quantification.txt	cac75d8f4f0125455e198e43d156600a	TCGA-E2-A10B-01A-11R-A10I-13	BRCA	TCGA
002f335f-9bb9-4acf-b12f-3d12a1094502	0ca4b553-ff6d-4fb5-ace8-311d71cae4ea.mirbase21.isoforms.quantification.txt	93e8503ba90b0c0256556625b1588e38	TCGA-HI-7168-01A-11R-2117-13	PRAD	TCGA
00358114-45bc-4671-8344-8a5c6ce86413	c95eaab6-3473-46b4-8bf7-0701ca622640.mirbase21.isoforms.quantification.txt	1f46fb5fe8902486699748e21aa819ff	TCGA-YZ-A980-01A-11R-A40B-13	UVM	TCGA
0038698a-636a-4542-9d1b-5bcce7ad0f2a	28fd3247-744e-40b6-98cc-30177e170c6d.mirbase21.isoforms.quantification.txt	79f4c6786db56431a8cec8d70337c3b0	TCGA-DB-A75P-01A-11R-A360-13	LGG	TCGA
0039452a-abfb-4089-bb91-e484aaf9b6b4	d8ff73a4-ade5-47cc-a286-c9c69881eb68.mirbase21.isoforms.quantification.txt	66728f0c202946af80631203fcaf8230	TCGA-2G-AAF4-01A-11R-A439-13	TGCT	TCGA
003bb8e8-01b8-4c6a-82b6-d0b003d5143b	de47d44c-221b-4663-8406-a2903ff64153.mirbase21.isoforms.quantification.txt	6afc07a495fb46bda805ae062cabf612	TCGA-B6-A0WX-01A-11R-A108-13	BRCA	TCGA
0057892d-fb1a-4062-b5d3-c2105500677c	d3cd1e0c-704b-4569-9c14-d6001a5a402b.mirbase21.isoforms.quantification.txt	e52ef8de24ad29938b406e3940707f26	TCGA-DB-A75L-01A-11R-A32L-13	LGG	TCGA
006f5c64-e680-4432-bb26-bf363d480111	2ad1dcca-8c08-4500-a282-98b81c1520b4.mirbase21.isoforms.quantification.txt	41bb6e386d29019c6a99b718676675b9	TCGA-AP-A0LP-01A-12R-A103-13	UCEC	TCGA
007fab0a-8eca-49c5-8692-6276826de7f9	4997f013-bcc5-4511-96b8-ce2b365aba6f.mirbase21.isoforms.quantification.txt	927ef3e09f0d1d877bde9a426a694960	TARGET-52-PADYZI-01A-01R	RT	TARGET
008aad4d-a019-4572-91db-b689d6686c29	cec2c2cf-5277-42b3-a5a8-5ee3f4c9caa9.mirbase21.isoforms.quantification.txt	6dd6d02083c11c0da4135592a7c61760	TCGA-B6-A409-01A-11R-A24J-13	BRCA	TCGA
008da182-1f1c-47cf-9763-1574fe0f36c8	9b4aa546-682c-4848-b98a-5ad3a40c8897.mirbase21.isoforms.quantification.txt	fc9ee95dfa4830d9f6f43ed0357bcf18	TCGA-AA-3531-01A-01T-0822-13	COAD	TCGA
008e7358-de68-4279-a49c-4ed9ecf6cea9	17c29ae5-9ab7-4d85-b5ce-eed667af18ef.mirbase21.isoforms.quantification.txt	355a1bf4d1944436dfbbd1fc53b73caa	TCGA-EO-A3KX-01A-11R-A22I-13	UCEC	TCGA
00a222e1-48e0-4594-9d82-a6a93220b626	94c1b350-32bc-4b5e-be63-891a03bc6adc.mirbase21.isoforms.quantification.txt	ec0d814fc725489e771f2e7dbc909e2b	TCGA-85-8276-01A-11H-2295-13	LUSC	TCGA
00a28804-af1d-4850-b0a1-bc29b05f8b28	b67c85fa-47fb-49f8-98ec-2b0be7535bae.mirbase21.isoforms.quantification.txt	f62ab957ad6b4a624886a37360f14ba0	TCGA-IB-7647-01A-11R-2155-13	PAAD	TCGA
00b9598a-9429-4608-aacd-d7bbe8f65798	af206222-82e9-498c-9bd1-23d68cf30e64.mirbase21.isoforms.quantification.txt	9ee6c55887d97499648c49036b6a0b3a	TCGA-DD-AAC8-01A-11R-A41H-13	LIHC	TCGA
00bddf19-4948-49d1-8415-09d259412083	2e00a7eb-0d26-4f0c-8dc8-6443edcd68b3.mirbase21.isoforms.quantification.txt	6896d590aea9f00ee51230b7e35f2603	TCGA-V1-A9ZI-01A-11R-A41R-13	PRAD	TCGA
00bf722a-9d24-449c-9e0e-e03961ad48e4	c3a2ba29-724f-446f-9c67-2fc108be7974.mirbase21.isoforms.quantification.txt	7ffbcf347fda78218628ab92775d5a29	TCGA-RD-A7C1-01A-11R-A32E-13	STAD	TCGA
00c21884-01ba-42ef-930a-46c2210cc7b4	807668b4-c932-4adc-a7ff-3b8e195e89c9.mirbase21.isoforms.quantification.txt	719479d8a3fd08ebcc13c94277219838	TCGA-E9-A1R5-01A-11R-A14L-13	BRCA	TCGA
00c3a88d-d781-4758-8956-f37474bd906d	f6bd6b95-06aa-499d-a5ce-e39caaa2da35.mirbase21.isoforms.quantification.txt	4483b078aa61f2718fc19f22033c40b6	TCGA-CA-5254-01A-21H-1838-13	COAD	TCGA
00cce2ba-3fd3-423d-9021-a75654b9f74c	d70152f4-d138-4d78-afab-ed6b14abe24e.mirbase21.isoforms.quantification.txt	a36a15def7fc3d57bcfe20dea4fbfdc3	TCGA-LL-A5YN-01A-11R-A28I-13	BRCA	TCGA
00ce0f05-1585-45f2-a0c3-029e13b3b096	933d11dc-3ef8-44ba-baa4-4f6779e51ed7.mirbase21.isoforms.quantification.txt	cc57ae687d7d1eb7c042b3ada6b1bb84	TCGA-ZG-A9L1-01A-11R-A41R-13	PRAD	TCGA
00cec9b6-244c-44ff-9ac2-91fed660de97	f996a109-74e5-473c-a312-96dfb6153734.mirbase21.isoforms.quantification.txt	13ac89dba555ab0578b7151785ebd139	TCGA-31-1956-01A-01R-1568-13	OV	TCGA
00cfb70c-f85b-48fa-90da-fa6f80272fc1	5c620b82-59e7-4821-ae20-624423486200.mirbase21.isoforms.quantification.txt	e00f191f9c29df6e6550d0ab08263a2f	TCGA-EJ-5508-01A-02R-1579-13	PRAD	TCGA
00d07444-a48c-4dc1-866f-2f9f39fb0104	d9d54d4e-37a1-4b62-bd2f-748b865d47b5.mirbase21.isoforms.quantification.txt	94085728b425833284f1c63e61b305ed	TCGA-B5-A1MZ-01A-11R-A143-13	UCEC	TCGA
00d2382b-7bd0-4a71-9e77-2d06fbf1f6ea	3b4c801e-af84-4e95-93ac-f197cc12c295.mirbase21.isoforms.quantification.txt	fc8392c07ff34eaab93a9271c5273239	TCGA-DX-AB2G-01A-11R-A39J-13	SARC	TCGA
00d2b00b-abf0-496f-98d8-36aef53f3aad	3cad76ac-4dbf-45e9-9d36-bf10743162af.mirbase21.isoforms.quantification.txt	cf6e992d37d6e0c09fc8534f571bcaee	TCGA-ZF-A9R9-01A-11R-A38M-13	BLCA	TCGA
00d2df15-40ce-4336-b852-11f212372b6d	b2090eeb-ce60-4ffc-8564-bfdfb40c614f.mirbase21.isoforms.quantification.txt	a2151e5f45dc529f33eb5c7567923a6d	TCGA-XF-A9SH-01A-11R-A39B-13	BLCA	TCGA
00d4dee8-2337-457f-b52e-84a82bf36704	9611e7bf-a6d8-4d23-ad28-817bb2c48d9e.mirbase21.isoforms.quantification.txt	4a2e6d6b3f030238b2add0c18f206de6	TCGA-QH-A6CZ-01A-11R-A32L-13	LGG	TCGA
00dcb356-2ba3-40e0-9df2-201fe4ecb739	573260b6-673e-43ad-99b1-2d1598dab44f.mirbase21.isoforms.quantification.txt	6b056f2fea1c14d5bd6e3a121e4daa36	TCGA-AK-3427-01A-01T-0860-13	KIRC	TCGA
00dd8ec1-06b8-40a1-996b-117ac0343db9	769b23dc-7cf7-4b57-afbd-d220597620ec.mirbase21.isoforms.quantification.txt	cab702fb58e69635b0125f8fc8e1b6a0	TCGA-AC-A2BM-01A-11R-A21U-13	BRCA	TCGA
00e48316-9c4c-40bc-9a17-cdceb0936a4e	476b3918-0e16-43c9-bffc-3716760daba9.mirbase21.isoforms.quantification.txt	d5edcc5bc93221661d21f0eaa9fce3b4	TCGA-JY-A93F-01A-21R-A37J-13	ESCA	TCGA
00e591be-3618-429d-a5a2-443f34320928	b6797444-c4a2-4bd6-a202-2f2acdd8b241.mirbase21.isoforms.quantification.txt	03aae9a0b8a32f63f4ae0a6473096052	TCGA-X7-A8DJ-01A-11R-A42W-13	THYM	TCGA
00e793cb-c223-4069-92f5-e99173d2bc13	73973f21-67d8-4f0c-9b27-625ced172156.mirbase21.isoforms.quantification.txt	7b3dca22ba151a6fb4d7a5009fd14f86	TCGA-CG-4476-01A-01R-1157-13	STAD	TCGA
00f0457e-4ba6-461d-a93f-75918bf1a3a2	030617b7-a380-4d16-93a8-3be8345d78f2.mirbase21.isoforms.quantification.txt	045b2acae47cbc144cc7adcc1d54ab21	TCGA-HC-7747-01A-11R-2117-13	PRAD	TCGA
00fdf76c-7f53-46ca-8dfb-da7b17f1e97f	2ab8c74a-41c9-4d37-b4dc-90481d65e02e.mirbase21.isoforms.quantification.txt	1c3fc200fadeefacd03d360edaaf7d18	TCGA-BR-8676-01A-11R-2402-13	STAD	TCGA
00fea64f-b7b5-4b6b-b62f-88993b8c25b3	b334b2f9-f3aa-41f6-94d9-8c44882fd3f8.mirbase21.isoforms.quantification.txt	0d1e45e0ee53c702caae697571f0a85e	TCGA-4V-A9QM-01A-11R-A42W-13	THYM	TCGA
0104b4b1-b210-4f8f-80d5-147ba7ab69bc	abdd1e38-13d0-42f1-b09a-523e3e57aec9.mirbase21.isoforms.quantification.txt	71a7b0a758d66e6056447e66505dd31b	TCGA-A4-7996-01A-11R-2203-13	KIRP	TCGA
